@relation accelerometer_features

@attribute fft_coef_0000 numeric
@attribute fft_coef_0001 numeric
@attribute fft_coef_0002 numeric
@attribute fft_coef_0003 numeric
@attribute fft_coef_0004 numeric
@attribute fft_coef_0005 numeric
@attribute fft_coef_0006 numeric
@attribute fft_coef_0007 numeric
@attribute fft_coef_0008 numeric
@attribute fft_coef_0009 numeric
@attribute fft_coef_0010 numeric
@attribute fft_coef_0011 numeric
@attribute fft_coef_0012 numeric
@attribute fft_coef_0013 numeric
@attribute fft_coef_0014 numeric
@attribute fft_coef_0015 numeric
@attribute fft_coef_0016 numeric
@attribute fft_coef_0017 numeric
@attribute fft_coef_0018 numeric
@attribute fft_coef_0019 numeric
@attribute fft_coef_0020 numeric
@attribute fft_coef_0021 numeric
@attribute fft_coef_0022 numeric
@attribute fft_coef_0023 numeric
@attribute fft_coef_0024 numeric
@attribute fft_coef_0025 numeric
@attribute fft_coef_0026 numeric
@attribute fft_coef_0027 numeric
@attribute fft_coef_0028 numeric
@attribute fft_coef_0029 numeric
@attribute fft_coef_0030 numeric
@attribute fft_coef_0031 numeric
@attribute fft_coef_0032 numeric
@attribute fft_coef_0033 numeric
@attribute fft_coef_0034 numeric
@attribute fft_coef_0035 numeric
@attribute fft_coef_0036 numeric
@attribute fft_coef_0037 numeric
@attribute fft_coef_0038 numeric
@attribute fft_coef_0039 numeric
@attribute fft_coef_0040 numeric
@attribute fft_coef_0041 numeric
@attribute fft_coef_0042 numeric
@attribute fft_coef_0043 numeric
@attribute fft_coef_0044 numeric
@attribute fft_coef_0045 numeric
@attribute fft_coef_0046 numeric
@attribute fft_coef_0047 numeric
@attribute fft_coef_0048 numeric
@attribute fft_coef_0049 numeric
@attribute fft_coef_0050 numeric
@attribute fft_coef_0051 numeric
@attribute fft_coef_0052 numeric
@attribute fft_coef_0053 numeric
@attribute fft_coef_0054 numeric
@attribute fft_coef_0055 numeric
@attribute fft_coef_0056 numeric
@attribute fft_coef_0057 numeric
@attribute fft_coef_0058 numeric
@attribute fft_coef_0059 numeric
@attribute fft_coef_0060 numeric
@attribute fft_coef_0061 numeric
@attribute fft_coef_0062 numeric
@attribute fft_coef_0063 numeric
@attribute max numeric
@attribute label {standing,walking,running,others}

@data
1.40271,0.107649,0.187453,0.220283,0.160719,0.073106,0.132702,0.052913,0.064108,0.019999,0.07323,0.050011,0.051209,0.075286,0.048576,0.092201,0.132996,0.109365,0.13939,0.125612,0.08287,0.021754,0.042802,0.027865,0.029737,0.033449,0.038673,0.03177,0.037491,0.056201,0.038573,0.008796,0.017082,0.008796,0.038573,0.056201,0.037491,0.03177,0.038673,0.033449,0.029737,0.027865,0.042802,0.021754,0.08287,0.125612,0.13939,0.109365,0.132996,0.092201,0.048576,0.075286,0.051209,0.050011,0.07323,0.019999,0.064108,0.052913,0.132702,0.073106,0.160719,0.220283,0.187453,0.107649,0.058936,standing
1.122566,0.131771,0.055261,0.079324,0.044288,0.046865,0.008896,0.077876,0.083996,0.024438,0.034571,0.082702,0.064871,0.072468,0.059266,0.059819,0.04458,0.078853,0.135004,0.058933,0.04379,0.029123,0.016359,0.022949,0.040191,0.042037,0.019822,0.043271,0.005472,0.024557,0.013842,0.027972,0.044988,0.027972,0.013842,0.024557,0.005472,0.043271,0.019822,0.042037,0.040191,0.022949,0.016359,0.029123,0.04379,0.058933,0.135004,0.078853,0.04458,0.059819,0.059266,0.072468,0.064871,0.082702,0.034571,0.024438,0.083996,0.077876,0.008896,0.046865,0.044288,0.079324,0.055261,0.131771,0.042019,standing
0.909142,0.066836,0.101843,0.15789,0.035727,0.097912,0.052533,0.044015,0.020572,0.036451,0.028203,0.080795,0.034859,0.010828,0.054225,0.055928,0.046144,0.077841,0.098968,0.044305,0.026804,0.043623,0.050468,0.016305,0.010885,0.015689,0.015052,0.025415,0.016032,0.026499,0.020132,0.021888,0.011388,0.021888,0.020132,0.026499,0.016032,0.025415,0.015052,0.015689,0.010885,0.016305,0.050468,0.043623,0.026804,0.044305,0.098968,0.077841,0.046144,0.055928,0.054225,0.010828,0.034859,0.080795,0.028203,0.036451,0.020572,0.044015,0.052533,0.097912,0.035727,0.15789,0.101843,0.066836,0.039456,standing
1.446029,0.210813,0.218502,0.092523,0.163812,0.066957,0.025945,0.044709,0.120615,0.010765,0.092054,0.060614,0.022243,0.022026,0.057754,0.179241,0.093647,0.139653,0.059887,0.038774,0.108625,0.019178,0.043559,0.011163,0.015561,0.032728,0.002049,0.021941,0.006135,0.040357,0.025379,0.03715,0.009791,0.03715,0.025379,0.040357,0.006135,0.021941,0.002049,0.032728,0.015561,0.011163,0.043559,0.019178,0.108625,0.038774,0.059887,0.139653,0.093647,0.179241,0.057754,0.022026,0.022243,0.060614,0.092054,0.010765,0.120615,0.044709,0.025945,0.066957,0.163812,0.092523,0.218502,0.210813,0.049831,standing
1.071308,0.177355,0.065868,0.038746,0.06075,0.052124,0.037867,0.019954,0.069667,0.047922,0.03924,0.069048,0.064341,0.042981,0.036062,0.017474,0.071821,0.052074,0.038462,0.038723,0.104284,0.038399,0.056082,0.044393,0.037163,0.019846,0.035059,0.03453,0.010793,0.008651,0.02045,0.026468,0.010225,0.026468,0.02045,0.008651,0.010793,0.03453,0.035059,0.019846,0.037163,0.044393,0.056082,0.038399,0.104284,0.038723,0.038462,0.052074,0.071821,0.017474,0.036062,0.042981,0.064341,0.069048,0.03924,0.047922,0.069667,0.019954,0.037867,0.052124,0.06075,0.038746,0.065868,0.177355,0.037768,standing
0.767054,0.212265,0.154857,0.038846,0.037844,0.025952,0.055979,0.051996,0.074901,0.059182,0.061093,0.037508,0.048456,0.028818,0.033909,0.040606,0.028593,0.061383,0.055249,0.039491,0.057303,0.024315,0.004267,0.023846,0.028476,0.016478,0.018217,0.004688,0.011877,0.006524,0.030966,0.009976,0.004857,0.009976,0.030966,0.006524,0.011877,0.004688,0.018217,0.016478,0.028476,0.023846,0.004267,0.024315,0.057303,0.039491,0.055249,0.061383,0.028593,0.040606,0.033909,0.028818,0.048456,0.037508,0.061093,0.059182,0.074901,0.051996,0.055979,0.025952,0.037844,0.038846,0.154857,0.212265,0.036014,standing
1.769743,0.661794,0.51704,0.406564,0.344719,0.260704,0.268187,0.270853,0.243314,0.23277,0.210155,0.176493,0.223494,0.199263,0.226069,0.232542,0.164997,0.102201,0.099277,0.06323,0.123702,0.056362,0.051584,0.033882,0.03687,0.017458,0.026525,0.018822,0.038114,0.027629,0.01704,0.02308,0.018191,0.02308,0.01704,0.027629,0.038114,0.018822,0.026525,0.017458,0.03687,0.033882,0.051584,0.056362,0.123702,0.06323,0.099277,0.102201,0.164997,0.232542,0.226069,0.199263,0.223494,0.176493,0.210155,0.23277,0.243314,0.270853,0.268187,0.260704,0.344719,0.406564,0.51704,0.661794,0.161521,standing
1.835145,0.184362,0.431236,0.141456,0.122979,0.092094,0.016589,0.062383,0.066916,0.029486,0.003494,0.068906,0.014038,0.026812,0.040056,0.11602,0.119207,0.083289,0.256945,0.145415,0.112138,0.031178,0.07874,0.031266,0.05104,0.011552,0.022781,0.024714,0.024577,0.013389,0.028038,0.047259,0.010856,0.047259,0.028038,0.013389,0.024577,0.024714,0.022781,0.011552,0.05104,0.031266,0.07874,0.031178,0.112138,0.145415,0.256945,0.083289,0.119207,0.11602,0.040056,0.026812,0.014038,0.068906,0.003494,0.029486,0.066916,0.062383,0.016589,0.092094,0.122979,0.141456,0.431236,0.184362,0.067068,standing
0.866995,0.185392,0.128533,0.023483,0.108689,0.033405,0.03868,0.029959,0.045758,0.056664,0.022324,0.053317,0.030184,0.066934,0.067094,0.074809,0.062187,0.054768,0.053457,0.04383,0.037543,0.017001,0.021153,0.018327,0.014988,0.028317,0.023017,0.023757,0.02213,0.017374,0.009084,0.028672,0.027445,0.028672,0.009084,0.017374,0.02213,0.023757,0.023017,0.028317,0.014988,0.018327,0.021153,0.017001,0.037543,0.04383,0.053457,0.054768,0.062187,0.074809,0.067094,0.066934,0.030184,0.053317,0.022324,0.056664,0.045758,0.029959,0.03868,0.033405,0.108689,0.023483,0.128533,0.185392,0.034569,standing
1.15351,0.144145,0.063254,0.098771,0.088355,0.03533,0.064103,0.029603,0.068507,0.029079,0.021791,0.058326,0.051659,0.138742,0.063376,0.088724,0.094101,0.164715,0.041812,0.089219,0.074183,0.056573,0.013022,0.008689,0.00767,0.053036,0.037812,0.05616,0.023528,0.041459,0.037271,0.014735,0.033022,0.014735,0.037271,0.041459,0.023528,0.05616,0.037812,0.053036,0.00767,0.008689,0.013022,0.056573,0.074183,0.089219,0.041812,0.164715,0.094101,0.088724,0.063376,0.138742,0.051659,0.058326,0.021791,0.029079,0.068507,0.029603,0.064103,0.03533,0.088355,0.098771,0.063254,0.144145,0.039647,standing
